Ion;Extraction;ET;Mols;Strain;Diet;Sex;Age;Age.Cohort;HMDB05843;HMDB11749;HMDB12815;HMDB00718;HMDB00092;HMDB00008;HMDB00187;HMDB01858;HMDB03905;HMDB03156;HMDB04230;HMDB00870;HMDB00444;HMDB00300;HMDB01164;HMDB00562;HMDB00076;HMDB00453;HMDB00323;HMDB00162;HMDB00134;HMDB00019;HMDB00535;HMDB12249;HMDB00883;HMDB00202;HMDB00407;HMDB00167;HMDB01527;HMDB04072;HMDB01406;HMDB01488;HMDB03903;HMDB01084;HMDB00079;HMDB00267;HMDB00070;HMDB00666;HMDB00725;HMDB00064;HMDB00687;HMDB00622;HMDB00168;HMDB00317;HMDB00191;HMDB00156;HMDB03224;HMDB00034;HMDB12128;HMDB11659;HMDB04989;HMDB12153;HMDB00224;HMDB03431;HMDB06331;HMDB00392;HMDB00894;HMDB00393;HMDB01988;HMDB00482;HMDB02284;HMDB01552;HMDB01263;HMDB06831;HMDB00208;HMDB01218;HMDB00641;HMDB00182;HMDB06779;HMDB00148;HMDB00694;HMDB00227;HMDB00696;HMDB00956;HMDB00283;HMDB04487;HMDB01859;HMDB00292;HMDB00020;HMDB03667;HMDB01476;HMDB13253;HMDB12251;HMDB00177;HMDB02320;HMDB04362;HMDB01241;HMDB00959;HMDB00462;HMDB12241;HMDB10721;HMDB00798;HMDB00339;HMDB00991;HMDB00225;HMDB02820;HMDB00555;HMDB03459;HMDB00486;HMDB02038;HMDB04077;HMDB00321;HMDB01424;HMDB00205;HMDB00174;HMDB12246;HMDB02005;HMDB00159;HMDB02334;HMDB00375;HMDB06462;HMDB03584;HMDB01545;HMDB00263;HMDB00289;HMDB00001;HMDB04980;HMDB00341;HMDB00721;HMDB00511;HMDB06488;HMDB00701;HMDB01264;HMDB12149;HMDB06028;HMDB00893;HMDB03357;HMDB00812;HMDB02201;HMDB00904;HMDB06355;HMDB00259;HMDB02043;HMDB01240;HMDB00122;HMDB00158;HMDB00247;HMDB01565;HMDB00272;HMDB06348;HMDB10724;HMDB02373;HMDB12150;HMDB01276;HMDB11635;HMDB06029;HMDB11717;HMDB00206;HMDB04823;HMDB00590;HMDB12710;HMDB11165;HMDB11745;HMDB01896;HMDB00094;HMDB00127;HMDB00954;HMDB00565;HMDB03966;HMDB04998;HMDB10729;HMDB00704;HMDB06406;HMDB00603;HMDB00638;HMDB00731;HMDB00832;HMDB00107;HMDB00792;HMDB00201;HMDB11667;HMDB04231;HMDB01451;HMDB01925;HMDB00860;HMDB02203;HMDB11714;HMDB00682;HMDB03581;HMDB10727;HMDB00910;HMDB06802;HMDB00114;HMDB13279;HMDB00888;HMDB00387;HMDB00856;HMDB00824;HMDB11150;HMDB01300;HMDB03764;HMDB00350;HMDB00212;HMDB00099;HMDB10325;HMDB00560;HMDB00033;HMDB00499;HMDB01228;HMDB00933;HMDB11175;HMDB13267;HMDB00618;HMDB03219;HMDB02335;HMDB01434;HMDB12161;HMDB01974;HMDB13125;HMDB11725;HMDB00038;HMDB00194;HMDB10730;HMDB00826;HMDB02366;HMDB13286;HMDB00296;HMDB02327;HMDB01931;HMDB01526;HMDB02012;HMDB00736;HMDB04086;HMDB04195;HMDB12273;HMDB00220;HMDB00086;HMDB13161;HMDB00124;HMDB11171;HMDB01551;HMDB00497;HMDB00050;HMDB04081;HMDB10733;HMDB10734;HMDB13238;HMDB01388;HMDB00673;HMDB01358;HMDB00827;HMDB01068;HMDB11685;HMDB01852;HMDB01062;HMDB01067;HMDB01043;HMDB04269;HMDB00125;HMDB05060;HMDB00031;HMDB00553;HMDB01016;HMDB02156;HMDB05045;HMDB00095;HMDB12252;HMDB12799;HMDB02088;HMDB05023;HMDB02183;HMDB02121;HMDB06528;HMDB02226;HMDB02884;HMDB00944;HMDB06591;HMDB01922;HMDB00045;HMDB04080;HMDB11681;HMDB00353;HMDB03601;HMDB11539;HMDB02685;HMDB02007;HMDB06273;HMDB00037;HMDB11153;HMDB01439;HMDB00949;HMDB02368;HMDB03180;HMDB02886;HMDB00418;HMDB02304;HMDB03572;HMDB02082;HMDB11575;HMDB00912;HMDB11543;HMDB00280;HMDB01984;HMDB00447;HMDB12575;HMDB05022;HMDB03556;HMDB01341;HMDB10334;HMDB00416;HMDB03474;HMDB07852;HMDB11152;HMDB11589;HMDB11118;HMDB06898;HMDB00513;HMDB10321;HMDB01396;HMDB06321;HMDB00036;HMDB04135;HMDB06455;HMDB11496;HMDB10386;HMDB10385;HMDB07010;HMDB00548;HMDB11762;HMDB00286;HMDB11499;HMDB10400;HMDB05774;HMDB01898;HMDB07021;HMDB12146;HMDB10361;HMDB07033;HMDB07217;HMDB04953;HMDB02429;HMDB07353;HMDB07121;HMDB00757;HMDB07858;HMDB07266;HMDB07901;HMDB07868;HMDB12085;HMDB08835;HMDB07941;HMDB07940;HMDB07938;HMDB09347;HMDB08946;HMDB07949;HMDB10580;HMDB07889;HMDB01248;HMDB10602;HMDB07991;HMDB04975;HMDB08457;HMDB01275;HMDB10611;HMDB07989;HMDB06502;HMDB12107;HMDB10166;HMDB10166;HMDB12316;HMDB05370;HMDB09821;HMDB04047;HMDB09929;HMDB09999
1;NH24;1762;114;BXD45;CD;F;174;1;18091;1052;1379;10202;42003;29271;14158;7143;10651;1853;7916;5498;14213;40118;9797;13187;9418;1922;766;51648;26609;6080;17855;5052;110770;225361;5385;21236;6180;7902;10867;4127;60167;2217;146183;133644;4585;5368;6596;10207;376022;12480;11480;3727;44938;114473;2231;363044;247;954;890;7368;24620;624;177845;6327;3351;38873;7243;13776;950;978;9159;3332;18030;2020;1025294;142749;67670;129967;32466;9105;8786;4482;8871;4279;5438;231753;12054;6723;9026;992;3680;185520;3520;8348;3633;5110;21425;3078;10045;25883;7514;1116;2862;1041;4987;2684;4190;1528;4244;80169;3127;16137;36715;900;23254;143872;29913;6743;272575;39922;4272;1855;131094;6212;9180;9956;5629;17267;1506;7511;12934;2864;3962;11171;9042;5029;1320;6702;269542;4636;4816;1669;366909;73093;37825;3413;42940;2213;6020;5624;1190;574;5044;26746;22763;11962;16765;14216;9630;2817;3409;437;77184;7875;2340;207536;4046;4165;4764;2673;1953;12471;194298;1099;1737;2967;11510;5951;14286;1267;3221;7827;15623;7026;3530;22018;3161;5423;17842;2105;145422;1531;5024;3563;2511;1063;665;48708;13102;6622;19525;7865;22603;3725;2452;23360;4054;8182;4465;1609;33320;3082;4987;1981;4534;1650;2199;23296;8252;2211;4328;100074;2098;14734;106449;5245;5946;8075;3274;4405;2719;7005;1086;1846739;16293;2266;163747;8727;1107;2844;8193;27684;24163;22409;608;85701;548161;8009;1594382;33260;5208;4322;13145;2465;50385;5721;178360;8731;2550;20456;6872;772;6501;64329;323;1984;650;2966;24007;3544;4616;3421;1817;7410;2858;2077;156633;336;51953;6326;1875;1626;3025;991;9244;4984;799;3669;19973;1981;5898;7203;27495;692;28894;9815;726;3609;2033;3221;2756;3630;1692;2657;2770;40569;2344;4213;2928;5016;1969;2025;1287;3078;2559;2169;4068;1056;20448640;5484;564;3763;8826;6332;2077;385;591;42067;3799;538;2500;1875;426;686;2586;1079;3985;1844;1856;1883;1308;13178;3342;1045;916;1158;1592;10472;14243;100040;28311;4525;35313;89965;4245;5356;2647;33073;6356;3045;2938;1690;12792;13839;3825;3446;15765;15765;2283;2498;4208;2582;4445;2553
2;NH24;1762;114;BXD45;CD;F;174;1;21659;1098;1270;9760;45137;30666;14733;7198;10693;2159;6880;6582;14441;31579;9832;13858;11879;2189;909;54833;28321;7334;18963;5740;118050;233304;6156;21476;6414;9931;12054;4331;67082;1814;157107;144232;4519;4969;6698;10300;404241;12440;13824;3822;47074;123107;2112;368479;362;1119;1103;6984;25998;753;176822;7230;4086;42803;7344;13833;655;932;9861;3953;18969;2690;1140842;160466;66754;133612;32572;10258;8827;2531;8796;5049;5797;249190;12801;7205;8151;822;4991;215237;3636;9224;3150;4871;21970;3444;11017;28479;8356;1100;2990;1041;4904;2325;4002;1779;4619;82059;2543;16097;39782;887;23472;150659;26800;7346;297387;43546;4522;2238;140417;5720;8506;9291;6564;17708;1613;8138;12235;2906;3412;12047;8800;6516;1319;6313;288203;4783;4636;1414;395917;75944;39972;3555;49896;2600;6105;4618;1270;666;4267;27850;24184;11297;17313;14123;10601;2774;4193;552;68556;7963;2524;228206;4059;4147;4781;2718;2348;12363;204252;823;1495;3033;12100;6166;12106;1836;5302;8172;16926;7662;3396;21897;3002;5319;16617;2430;156030;1474;6701;3896;2792;1069;888;55986;13275;8029;20654;7001;21985;4492;2377;24567;3422;9130;5125;1873;35584;3655;5334;1842;4362;1939;2032;23117;8262;2196;4533;98159;2143;15898;88889;5340;5849;8686;2914;4587;2462;7259;1472;1781334;16163;2421;184647;8303;1043;2659;8901;30272;25085;24091;763;88748;497498;8069;1576867;34970;4753;4697;15161;2682;43856;6462;197230;7499;2510;19846;7485;647;6292;27212;363;1670;496;2749;21064;3375;4425;3542;2275;7330;2845;2206;169206;551;55342;6043;2173;1486;2791;870;9126;4783;741;3825;21316;2058;4682;7824;28177;909;25621;11553;1024;3578;2189;3259;3084;3068;2240;2758;2987;42776;2488;3947;3206;4304;1454;1652;1171;2813;2339;1974;4282;1022;20773328;5876;521;3589;7964;6123;1911;549;529;45470;3930;588;2234;2248;394;926;2223;941;4024;1848;1689;1311;1105;14010;3212;1148;819;1183;1281;12263;14843;98542;29142;5031;36212;92568;4269;5852;2662;33814;6947;2495;2908;1510;12890;15500;4258;3375;16271;16271;2262;2609;4139;3232;4630;2756
3;NH24;1045;195;BXD29;CD;F;343;2;12931;903;1750;10509;50342;35272;22220;7015;11975;2487;10861;5787;13118;48674;8113;11076;10946;3576;902;64518;56744;6583;15315;4053;142708;354901;5430;30403;6111;11316;14669;4803;78830;2180;140744;148277;4141;4911;6731;7613;434483;13414;17496;3664;65656;273704;2364;1691277;2025;3259;1221;5270;25914;725;159972;6519;3084;36849;6808;11694;923;1142;22055;2291;19716;2573;1091170;171955;65254;179199;35077;10279;11321;2862;8400;4843;5181;271091;13423;9985;8806;1114;3742;194568;4317;7333;3097;5280;17080;4111;9016;26740;18836;1337;3555;1133;5573;2880;4143;3920;7430;81461;3197;13661;25544;808;13619;156027;23194;6784;428807;45141;3822;2002;44351;4427;12136;6775;7415;18952;1425;14743;10981;5485;4945;13816;8508;4472;1612;4500;528692;2071;5007;1270;347458;97647;32551;3604;59494;4786;5860;4787;1236;1015;6301;36772;30984;10794;23088;15057;9147;3235;3814;727;57316;6067;2237;316218;4075;3674;5168;1829;2174;17480;189812;867;1515;4244;14862;4972;14325;1369;3051;6730;13647;8153;2845;17558;3807;6442;9646;2165;114050;1239;7556;3466;2461;1462;889;102749;10427;9892;12721;8675;26176;4910;2195;19117;3684;9225;5263;2049;36917;3730;4269;1594;6105;1832;3578;23068;6771;2675;4490;84842;2011;12117;172351;7078;6582;6879;3735;4221;5432;9022;1542;2278378;13601;2101;240420;8747;2006;3422;37498;24646;33429;25935;976;238632;2061701;8988;1574488;65351;4241;5420;16872;4236;153033;8008;206103;16829;6195;21081;5712;1183;9747;28158;445;1680;842;3002;98443;4693;23854;13285;3256;7634;2617;3434;249421;512;62234;4000;2879;1815;3526;2703;8354;5011;1117;5188;4788;2514;5183;10249;16295;693;50781;10595;1252;4415;2476;3086;4878;2796;2002;3758;5240;38060;2179;3881;3034;10498;2666;2026;1624;2371;2241;2869;3330;1756;26322378;15258;798;11250;14628;8052;1742;912;695;36038;5330;957;3785;2824;611;795;2613;1558;3313;1901;2220;2123;1973;3186;5213;2538;1348;1179;1697;48451;80201;312193;66617;9905;209427;345203;10495;14262;3031;62656;13748;2586;4384;2067;25976;28969;4829;3544;28366;28366;2784;1997;5520;5565;5483;3112
4;NH24;1045;195;BXD29;CD;F;343;2;13139;1106;1560;10454;53965;36396;22288;9194;12095;2918;12171;7122;12744;50673;8821;12170;11497;3557;947;68401;58049;6299;15980;4413;147312;363032;5277;31767;6284;11502;16420;5619;77572;2258;143849;150641;4202;5936;6669;7241;458640;14011;18239;4497;67098;288596;1923;1779119;2456;3016;1485;5898;24185;1087;165264;6894;3736;36596;8519;12104;1095;1071;23533;2230;20176;2794;1132169;193770;60977;188552;35788;11748;11949;2573;9392;4988;5587;280490;13686;10092;8833;1270;4188;205492;3926;8133;3051;4849;18962;4421;9497;26247;19482;1117;3749;1533;5648;3290;4143;4396;6669;86730;2999;12216;25609;966;14769;169947;23254;7053;440476;46364;4838;1640;45335;4115;13310;7787;8366;18820;1299;13262;11585;6088;5349;12642;9650;6252;1605;4524;551815;1678;4754;1225;359970;97831;33744;3724;59945;5089;6295;4799;1302;1452;7008;37286;31520;11698;25106;16489;9053;3795;3737;473;61173;6037;2701;327954;3708;3876;4831;1875;2170;17542;188038;558;1917;4419;14221;5298;11333;1601;5396;7455;13599;7838;2951;17857;4116;5919;10636;2418;120047;1370;8599;3359;2899;1402;657;104723;10910;10572;13041;8574;28664;4476;1968;19542;3467;10158;6080;1929;37522;4461;5402;2160;6814;1930;3383;24521;6506;2682;4894;80157;1478;11413;178288;7544;7015;6908;3648;4016;5307;9276;1458;2118331;14080;2340;248611;8802;1860;3049;36754;26344;33333;25043;948;223572;1873732;9434;1522363;67737;5244;6025;15770;4748;140111;7639;205905;15379;5917;21654;5944;983;9559;28673;365;1532;458;2954;91810;4604;21812;13559;2527;7764;2757;3211;261518;622;65017;3573;2898;1662;3603;2666;8386;5045;1059;5717;5059;2970;5321;11026;16511;878;52244;11274;1115;4798;2587;2952;4888;2547;1996;3251;3034;38317;2283;4011;2618;9448;2213;1969;1253;2574;2269;2139;4513;1558;26760744;16542;789;10235;13923;8682;1570;805;547;36307;5971;811;4246;2805;405;856;3086;1648;2797;1648;2381;1911;2141;3679;5060;2290;1427;1140;1465;50076;79104;307455;64662;9635;213209;344439;10905;13129;3018;64251;14498;2413;4309;1995;26551;28678;4918;3571;29414;29414;2928;2125;5787;5710;5500;3286
5;NH24;1772;99.5;BXD48a;HF;F;201;1;1443;1040;1428;8605;88536;51314;25006;8377;18992;808;17132;10678;18514;69711;2218;15669;14595;2185;1994;61769;191599;5218;6139;8008;114364;427369;8562;30739;5005;12648;23343;5784;74383;2215;219158;305908;5640;3236;10415;13156;364544;21499;23804;3799;143479;635255;2584;257725;242;1376;765;5599;66018;626;141411;2905;3496;43465;3613;10255;942;1240;8057;2158;33625;3256;1757770;194574;56114;394891;49406;13961;11675;4657;13497;2478;4596;504163;21226;1240;12735;1070;7107;302999;16442;2083;2785;4897;28565;4285;6690;22345;6218;738;4518;1374;4228;2502;3787;1495;3198;88505;2008;11334;20363;860;7924;159744;30996;6207;865998;86376;5170;2426;108920;11004;2219;7104;9333;18982;1570;7374;15885;1943;5731;11630;5268;16333;1319;8722;4103672;7355;2853;1502;484630;110020;32836;1816;111144;997;3932;4299;1725;1377;52895;39819;27002;12580;35385;21847;29929;5446;2938;653;89031;9528;1697;513578;2656;3193;5240;1418;1237;4242;158056;1136;995;2552;12734;5757;13843;1476;7949;1711;6894;4042;20571;34723;2266;4248;10102;2928;499870;1236;4808;4288;3827;1354;884;186731;14130;4461;22560;7159;14669;5772;7364;26496;4844;3399;3650;1586;67360;2589;5797;1612;5922;2009;1642;26381;6551;10349;5004;76843;1261;11586;268055;5506;2374;12292;1389;3535;5424;7271;2335;2286814;28385;2396;234486;6467;5169;2082;4760;176889;21554;12545;1059;222926;2876155;3759;1682696;84818;5115;4874;27293;2717;708470;2679;1319475;34634;10745;23483;31519;990;4197;25663;322;2152;953;3527;331423;3479;65895;58254;2653;7953;1555;1772;1101841;843;192338;5756;1931;1471;2306;6111;13686;3318;752;12795;19576;2171;5093;9263;26989;3319;28845;18370;1727;9970;2564;3621;9077;5933;3523;1500;2641;137540;3026;3313;2641;7223;3664;2371;1767;7859;5317;2031;1619;1697;28086040;10347;536;39723;15877;10909;1701;831;839;142008;4001;761;3747;2815;785;1153;2928;2407;16477;2278;1560;1832;4446;10373;5636;2546;1382;926;1614;41962;73560;225467;67744;31988;674896;654584;15049;22989;5538;46660;26282;2832;3854;2255;53362;51414;7128;2850;22325;22325;2318;3093;5865;4579;4951;2976
6;NH24;1772;99.5;BXD48a;HF;F;201;1;1024;1007;1193;7667;93790;54195;28196;8935;19902;830;17295;8912;20123;73652;2434;17288;16014;2386;1804;65405;199198;5868;6542;8830;118117;439109;8423;33504;4706;13340;27831;5604;74988;2544;227327;321327;5600;3357;10897;13500;378253;23734;24433;4378;148586;654696;2606;266054;273;1577;1105;6013;67497;635;138203;3194;3912;45458;4096;9608;889;1470;8820;2248;34551;3172;1808642;210068;57207;403866;49559;14457;12901;4993;14001;2810;4606;530433;22230;1204;12039;1005;7604;318815;17885;2540;2936;4854;31452;4797;7142;22257;6204;1074;5133;1564;4577;2689;3765;1418;4810;94405;2050;10606;22065;1195;7027;161157;28796;6837;889206;90683;5741;2895;109609;12150;2484;7213;9565;18713;1723;7554;16491;1939;6147;11264;5871;15512;1644;9683;4264548;8471;2642;1332;493411;115517;32000;2174;116390;1520;3768;4622;1409;2125;52674;41390;30368;12319;35836;21947;29544;4905;2878;594;93106;9756;2049;529347;3336;2648;5259;1271;1084;3433;156915;1064;1377;2598;12582;6617;12235;1500;7751;1638;7400;4978;21546;36468;2622;4928;10413;3103;519750;1332;4994;4333;4470;1395;853;206760;14378;4106;24040;7955;15123;5953;8499;26516;8680;3205;3552;1482;69280;2468;5743;1685;6387;2661;1426;27755;5690;10959;5179;74717;1607;13754;280161;6131;1890;11182;1671;3723;5907;7837;2840;2166757;29241;2314;235159;6538;5016;2415;5421;185910;21868;11817;948;212875;2759284;3001;1547930;85158;6060;4913;28695;2515;682538;2680;1353004;34504;9858;24405;30637;705;4030;24598;621;2271;835;3689;317839;3394;64698;55878;2919;7838;1569;1798;1122726;1025;199231;6006;1758;1599;2524;5709;13411;2885;876;14426;21407;2131;4671;10050;27725;3843;29551;16402;1623;9664;2992;3555;8324;5807;3451;1675;5353;144139;2707;3845;2678;6794;4039;2795;1968;7745;5438;1760;1389;1828;28774360;10837;616;38155;14812;10431;1763;892;827;144895;3795;630;4629;2895;690;965;3178;2200;17671;1662;1549;1796;3908;11133;5454;2433;1224;856;1427;41729;76543;221586;69387;32891;675287;659268;14444;23386;5649;46633;27660;2709;4014;2120;52266;54129;7120;2726;22148;22148;2743;3327;6193;4731;5182;3025
7;NH24;1096;103.5;BXD90;CD;F;716;4;17702;2549;2446;9619;122471;65917;25386;7848;14888;1400;15602;8864;14407;58146;5520;12535;16305;2161;1421;120576;60467;6029;19045;6136;202785;481285;7854;41830;6034;17289;18614;7121;53388;2942;163590;238040;13514;5320;14058;8344;518558;27076;22336;8829;51585;264644;3075;1663290;1715;3163;820;6503;23131;658;142018;5705;14309;52262;4400;13373;1211;1654;37981;3143;24529;2753;1313679;253861;56601;470115;43818;14103;11631;2582;28295;4228;4756;395082;19921;5451;12261;1679;9064;263174;6279;6459;3518;7805;18300;3634;8530;20228;14887;1316;5009;1733;5493;5503;4291;5090;14504;97576;5126;11204;48423;1203;9441;184660;19773;10151;561101;67388;5118;1992;178892;4874;7981;11565;10482;13671;2248;27708;17142;3434;7633;13147;20593;5359;2462;14463;621280;3584;4681;1274;573795;150469;35744;3462;143738;6742;5626;4248;1238;1325;4181;45392;34226;18589;26761;145505;12507;4466;5826;928;60776;9349;3401;401495;3095;3349;3714;1854;1903;12834;139532;805;2542;3385;11885;10722;12758;1307;2761;5368;14147;7164;3264;57426;4737;3716;9876;2332;161243;1362;6467;3257;6025;1345;712;135020;16250;8253;11202;12462;17848;2307;1873;8145;16760;9193;6351;1812;61749;3589;5279;1962;5468;1797;3298;23232;5175;3590;2983;77617;1782;7210;266084;5724;5637;8749;3450;5171;6334;153592;2450;1626887;15440;1989;451200;8269;1192;2403;35816;22659;19822;16708;511;54677;455580;2920;1486513;76431;5769;4891;18386;5092;89998;5299;1137837;8141;4370;22607;27616;669;4669;93948;593;2061;842;4244;40215;3285;9528;6183;1848;7474;2012;2353;616037;619;111134;2465;2230;1697;3538;1541;16279;4848;922;5497;8639;1909;5767;7910;39258;636;27909;7567;910;5497;2538;3720;2608;2192;2434;2208;5780;66493;3199;2658;2930;9307;1944;1959;3558;2606;2385;1902;12198;1865;25971298;7696;601;6341;15705;11847;1758;658;644;45989;4797;554;3042;3174;529;932;2887;1257;2839;1703;2635;2035;2092;43425;5283;1379;1295;961;1416;23184;76673;263133;55051;8269;134263;253084;17980;16725;4035;72428;20062;2339;4382;2298;45039;48960;6551;2646;31664;31664;3261;2708;7640;4343;5968;5420
8;NH24;1096;103.5;BXD90;CD;F;716;4;19265;2258;2819;8678;123477;68533;28165;8294;14993;1777;15798;9270;14026;60250;6180;11742;17347;3067;1420;128110;58535;6014;19529;6422;221219;494544;8516;42912;5631;15977;21069;6031;53990;3159;166379;236670;13185;5245;13931;8611;536361;28626;22905;9670;52970;264501;3397;1708016;1850;2936;1172;6512;24900;639;142595;5611;15258;53243;5111;12814;1227;1737;36449;3208;25664;3367;1333962;288799;55466;464362;42826;14715;12095;2658;30919;4396;5418;401317;21120;5860;11941;2057;9039;276582;5186;5859;3229;8035;19494;3801;7527;19906;15372;1087;5565;1810;6612;6086;4246;5840;16299;99942;4852;11360;50754;1333;10107;195800;17056;11261;566982;67259;5568;1981;179678;4765;8819;11863;11609;14467;3068;26072;18226;2674;6723;13032;21448;5345;3006;14764;603243;3942;4391;1142;588711;148417;36807;3871;144026;7734;5682;4362;1430;1842;4310;48500;33259;20550;27072;146984;13139;4061;6221;995;66259;10049;3609;405431;3626;3750;3042;2019;2131;13124;134450;644;2374;4181;11847;11111;12067;1070;2553;6449;14059;7733;3497;59635;5022;4176;9304;2803;160023;1596;6843;2943;6176;1200;600;133048;17507;8872;10590;11305;18417;2194;2520;8064;17238;9981;6455;1914;61839;4099;6072;2283;4536;1867;3189;22779;4914;2991;2896;75360;2070;7170;272383;5585;6229;9181;3114;4986;2665;159344;2661;1569470;16058;2061;457005;7984;1125;2535;36349;22692;21232;16171;521;49589;404545;3082;1462322;76905;6281;4159;18838;5642;78687;5163;1148218;7623;3754;21653;26518;670;4622;99244;330;1815;863;4467;33911;2920;8108;4525;1785;7114;2342;2142;627451;665;110919;2987;2292;1939;4460;1587;16838;4182;923;5930;8260;2035;5080;8042;41585;848;26786;8373;1041;5573;3081;3986;2386;2480;2598;2210;5783;66551;3187;2989;2865;8878;1993;1984;3931;2808;2280;1899;13278;1976;25954826;7493;592;6343;14306;11558;1479;751;694;43873;5122;730;3325;3062;318;1059;2712;1672;2281;1669;2554;2096;2147;43262;5012;1548;1298;821;1641;23377;74947;253105;52806;7441;129978;243766;17466;15967;3290;71752;19575;2488;5036;2003;42555;51187;6756;2548;30180;30180;3839;2976;7329;4779;6189;4535
9;NH24;736;97.5;BXD90;HF;F;570;3;1524;1230;1754;8393;67414;55591;23002;6479;17187;853;15735;9666;14126;54472;2253;14233;13490;1869;1423;64692;149108;4635;6265;7049;122998;496863;6959;28148;5536;6693;17893;5675;55788;2824;206720;227967;4575;3815;9046;10402;320798;17459;19261;3797;61758;246331;2463;600841;455;1636;908;6286;32637;534;146732;3269;3948;46434;3745;9361;745;1306;16855;1480;18176;2120;1646200;199334;56331;218066;41918;13966;9724;2470;11595;2545;5363;305221;14770;1571;9962;1606;11456;297510;6355;2860;2200;5068;20344;4041;6813;18922;18467;579;4969;1953;3926;2650;3205;6808;4769;87606;2738;8493;12198;691;7894;119072;17281;5908;742114;63381;6647;1778;90854;4952;3005;7497;12481;15517;1250;13390;14651;2732;5841;10186;5420;11956;1577;7685;4803599;7449;2401;961;451026;83742;28090;1738;59349;1551;3525;4047;1330;2087;23582;66060;30139;12128;29871;55542;19500;3668;3405;640;64551;6355;1678;339255;3226;2505;4542;1207;937;4463;148942;951;1273;3056;8285;6657;11060;1901;5778;2087;5905;5945;23600;16350;2637;4269;10015;2275;491336;1143;4972;2753;2953;1604;932;91883;16577;4179;20169;7551;12047;5805;3089;18044;7377;3525;4056;1847;46249;2778;6888;1625;7626;3337;1242;27343;4997;4224;3555;77415;1688;9668;239735;4447;1612;5027;1240;4216;2106;9295;3115;2468004;25625;2273;321909;6099;3610;2129;13133;87113;17229;10456;992;175595;1940635;3355;1696601;123072;5978;6443;22781;2701;481866;2852;2960614;21148;11211;23536;47328;703;3901;14470;380;1575;755;3152;446034;2300;44843;27250;3111;8665;1316;15480;346233;751;152753;3224;1375;1285;2249;6495;13928;3015;836;9989;9035;2364;5512;6898;27628;3060;1743341;12529;2319;6944;2876;3398;3964;2725;2150;1739;2215;92486;3973;5438;2972;6075;3928;2799;4287;2078;3096;2135;1451;2107;19098496;3590;561;58433;10644;8330;1658;935;943;97771;2134;708;2145;2540;851;1766;2154;2786;13680;2664;1213;2138;7219;29493;9173;3376;3145;1568;1744;157409;207266;412888;116043;72822;3368159;1800690;29885;34571;3501;80822;39378;2435;6430;2609;89320;66494;8173;3655;31118;31118;3379;2861;10392;2296;6091;4369
10;NH24;736;97.5;BXD90;HF;F;570;3;1302;1286;1736;7689;69769;58384;24516;6992;18693;912;15906;10929;16873;60489;2378;13917;15270;2053;1570;71664;166113;5506;7274;7727;129682;550771;6833;32076;4940;7085;20100;5905;59165;2937;223478;247320;4783;3807;10231;10957;351894;22368;21909;4001;66103;276819;2316;660609;510;1915;1097;6496;35084;518;134128;2940;4208;52719;3633;10223;836;1321;19722;1947;20786;3371;1826783;206514;54256;237321;49422;13804;10518;2653;12863;3171;5218;324468;15847;2113;9607;1226;13000;325899;6356;2920;2815;5943;22378;4789;6550;18789;21360;589;6213;1979;4178;2925;3346;8742;4754;94627;3121;7839;13904;687;7094;133689;15483;6855;847186;70176;7671;1810;103412;6575;2630;7566;13132;15641;1906;13788;15930;2433;6714;10872;5465;14260;1663;8652;5468024;8348;3115;1023;488327;91076;28657;1888;60113;1421;4203;4861;1757;2136;23840;76386;32227;13355;32669;64951;20037;4099;4191;755;76966;6630;1616;389080;3752;2079;4095;1436;1096;4642;150011;695;1204;2995;9326;7995;10628;1829;6465;2084;6057;7124;23330;17794;2589;4134;9982;1891;562490;1493;4940;3785;3458;1511;769;107236;19870;3863;24561;7856;13595;5318;3424;19688;7942;3830;4489;1864;53398;3210;7990;1832;7810;3237;1407;30861;4698;5128;3813;74148;1261;10869;268532;3880;1585;5666;1500;4717;5406;9459;3564;2464519;28628;2170;369994;7570;3537;2370;14196;96887;18327;11397;1373;181039;1948550;3171;1627072;146115;5562;6339;29020;3073;499790;2693;3429375;23446;11532;22512;57778;523;4321;17316;508;1419;729;2902;449803;2634;46865;27006;2767;7554;1621;16605;397414;640;179593;2712;1293;1061;2589;7133;14672;2759;885;12811;10354;2711;5525;7389;28842;2902;1935019;13220;2575;8013;2619;3363;3538;3303;2771;1646;2161;107230;3760;6226;2594;6433;3981;2288;4916;2045;3893;1990;1140;2015;20946436;4107;670;63326;11417;9737;2022;1052;1185;122024;2236;765;2368;3064;1054;1718;2396;2856;13875;3208;1393;2033;7038;34322;9425;3268;3563;2099;1791;174397;228627;450021;122220;81821;3701799;1997052;32372;35332;3876;95083;45013;2824;6761;2956;105885;74551;9090;4394;36957;36957;3825;2973;11303;2237;5812;3924
